1, 0.000000, 0.000000, 0.000001, 0.003676, 0.000000, 0.000000
2, 0.000000, 0.000000, 0.000000, 0.003468, 0.000000, 0.000000
3, 0.000000, 0.000000, 0.000000, 0.003087, 0.000000, 0.000000
4, 0.000001, 0.000001, 0.000000, 0.001995, 0.000000, 0.000000
5, 0.000001, 0.000001, 0.000000, 0.001244, 0.000000, 0.000000
10, 0.000005, 0.000006, 0.000001, 0.001976, 0.000000, 0.000000
20, 0.000044, 0.000041, 0.000006, 0.002603, 0.000000, 0.000000
50, 0.000691, 0.000702, 0.000086, 0.000824, 0.000000, 0.000000
100, 0.005446, 0.005224, 0.000665, 0.005847, 0.000000, 0.000000
200, 0.048160, 0.044509, 0.005253, 0.034213, 0.000000, 0.000000
300, 0.173064, 0.147246, 0.018686, 0.077518, 0.000000, 0.000000
400, 0.450003, 0.345631, 0.043033, 0.226319, 0.000000, 0.000000
500, 0.982622, 0.677925, 0.079603, 0.359318, 0.000000, 0.000000
